Artikelname,Artikelnummer,EAN,Beschreibung,Nettopreis,GrossesBild,KleinesBild,URL
"pader.eco fresh 2.0, Elektrik, zweiteilig",15130,,"<p>Die zweiteilige Liegefl&auml;che der pader.eco fresh 2.0 besteht aus K&ouml;rper- und Kopffl&auml;che mit einem Gesamtma&szlig; von 200 x 68 cm. Das Kopfteil l&auml;sst sich von +45&deg; bis -90&deg; Grad verstellen. Dank des abnehmbaren Handschalters an der Seite ist die Liege von ca. 45&nbsp;bis 102&nbsp;cm ganz leicht elektrisch in der H&ouml;he verstellbar.</p>

<p><br />
<strong>Produktdetails</strong></p>

<ul>
	<li>2-teilige Liegefl&auml;che 200 x 68 cm</li>
	<li><strong>inkl. Radachshebesystem</strong></li>
	<li>Stabiles Scherensystem mit wartungsfreien Trockenlagern</li>
	<li>Therapieliege elektrisch h&ouml;henverstellbar von ca. 46&nbsp;- 102&nbsp;cm</li>
	<li>Therapieliege elektrisch verstellbar durch&nbsp;Handschalter, Fu&szlig;schalter oder&nbsp;Rundumschaltung</li>
	<li>Kopfteilverstellung von +45&deg; Grad bis -90&deg; Grad abklappbar</li>
	<li>7 cm Polsterung mit antimikrobiellem Kunstlederbezug</li>
	<li>Untergestell mit kratz- und sto&szlig;fester Pulverbeschichtung</li>
	<li>Serienm&auml;&szlig;ig mit Absperrfunktion gem&auml;&szlig; BfArM</li>
	<li>5 Jahre Garantie auf das Untergestell</li>
	<li>2 Jahre Garantie auf den Antrieb</li>
</ul>

<p>&nbsp;</p>

<p><strong>Konfigurien Sie jetzt Ihre Wunschliege:</strong></p>
","1259,66",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/pader_eco_therapieliege_elektrisch_hoehenverstellbar.jpg,https://www.physioexpress.de/out/pictures/master/product/1/pader_eco_therapieliege_elektrisch_hoehenverstellbar.jpg,https://www.physioexpress.de/Behandlungsliegen/Therapieliegen/Therapieliege-elektrisch-hoehenverstellbar.html
"top | vit® physio.stick mit 8 Tubes",10435,,"<p>Der top | vit&reg; physio.stick erm&ouml;glicht ein effektives Training von Kraft, Ausdauer, Beweglichkeit und Koordination. Vielf&auml;ltige &Uuml;bungen zum Ganzk&ouml;rpertraining sowie gezielte Arbeit an einzelnen Muskelgruppen sind m&ouml;glich.&nbsp;<br />
<br />
<strong>Produktdetails</strong></p>

<ul>
	<li>Stab&nbsp;aus hochwertigem Fiberglas mit Grifffl&auml;che aus Schaumstoff</li>
	<li>Tubes (Gummib&auml;nder) sind leicht zu wechseln</li>
	<li>optimal f&uuml;r zu Hause, im Fitnessstudio oder in der Physiotherapie</li>
	<li>inklusive zwei Tubes je St&auml;rke: 2 x gr&uuml;n (leicht), 2 x blau (mittel), 2 x schwarz (stark), 2 x silber (extra stark)</li>
</ul>

<p>&nbsp;</p>
","47,02",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10435_physiostick_mit8tubes(1).jpg,https://www.physioexpress.de/out/pictures/master/product/1/10435_physiostick_mit8tubes(1).jpg,https://www.physioexpress.de/Gymnastikartikel/Tubes-und-Uebungsbaender/top-vit-physio-stick-mit-8-Tubes.html
Halbrolle,15293,,"<p>Ideal zur unterst&uuml;tzenden Lagerung im Nacken-, Knie- und Fersenbereich.&nbsp;Hervorragende Verarbeitung mit Kederapplikation und gef&uuml;llt mit festem Poly-Ether-Schaumstoff.<br />
<br />
<strong>Produktdetails</strong></p>

<ul>
	<li>hochwertige Verarbeitung mit Kederapplikation</li>
	<li>unterst&uuml;tzt die Therapie bei der Handbehandlung</li>
	<li>gef&uuml;llt mit festem Poly-Ether-Schaumstoff</li>
	<li>verdeckter Rei&szlig;verschluss zum Schutz vor Kratzspuren</li>
	<li>abgedeckte N&auml;hte mit Keder im Randbereich</li>
	<li>mit antimikrobiellem Kunstlederbezug</li>
	<li>einfache Reinigung mit handels&uuml;blichen Wischdesinfektionen</li>
	<li>ideal f&uuml;r den Arzt-, Physio- und Pflegebereich&nbsp;</li>
	<li>in 20&nbsp;verschiedenen Farben erh&auml;ltlich</li>
	<li>Made in Germany</li>
</ul>
","22,65",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/15296_halbrolle50x18x9cm_gruppe(1).jpg,https://www.physioexpress.de/out/pictures/master/product/1/15296_halbrolle50x18x9cm_gruppe(1).jpg,https://www.physioexpress.de/Behandlungsliegen/Lagerungsmaterial/Halbrolle-Lagerungsrolle.html
"top | vit® hip.band (3er Set)",10501,,"<p>Hip Band Set (auch: Fitnessb&auml;nder oder Widerstandsb&auml;nder) bestehend aus 3 B&auml;ndern in unterschiedlichen St&auml;rken. Geeignet f&uuml;r Muskelaufbau und Straffung des K&ouml;rpers. F&uuml;r Anf&auml;nger und Fortgeschrittene, Reha und Physiotherapeuten.</p>

<ul>
	<li>3 verschiedene St&auml;rken</li>
	<li>jede Farbe f&uuml;r unterschiedliche Widerst&auml;nde</li>
	<li>rutschfestes Material ohne aufrollen</li>
	<li>f&uuml;r vielseitige &Uuml;bungen und ein abwechslungsreiches Training geeignet</li>
	<li>perfekt f&uuml;r das Fitnessstudio, f&uuml;r Zuhause oder unterwegs</li>
	<li>ideal f&uuml;r Anf&auml;nger und Fortgeschrittene&nbsp;</li>
	<li><strong>inklusive Mesh-Bag und Anleitung mit Bildern&nbsp;&nbsp;</strong></li>
</ul>
","16,765",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/hip_band_set_fitness-baender__resistance_bands_01.jpg,https://www.physioexpress.de/out/pictures/master/product/1/hip_band_set_fitness-baender__resistance_bands_01.jpg,https://www.physioexpress.de/Gymnastikartikel/Yoga/hip-band-3er-Set.html
"top | vit® loops 5er SET",10348,,"<ul>
	<li>vielseitiges Trainingsger&auml;t f&uuml;r den linearen Kraft- und Koordinationstraining</li>
	<li>5 farbcodierte Widerstandsstufen, je Widerstand 1 Loop</li>
	<li>leicht an Gewicht und hoher Komfort durch seine breite Ausf&uuml;hrung</li>
	<li>ideal f&uuml;r Gruppentraining, Personaltraining, Stretching und Rehabilitation</li>
	<li>aus 100 % Latex f&uuml;r einen dynamische Elastizit&auml;t</li>
	<li>Ma&szlig;e (LxB): ca. 23 x 5 cm</li>
</ul>

<p>&nbsp;</p>
","15,08",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10348_loops_5x23cm_set(1).jpg,https://www.physioexpress.de/out/pictures/master/product/1/10348_loops_5x23cm_set(1).jpg,https://www.physioexpress.de/Nach-Hersteller/top-vit/top-vit-loops-5er-SET.html
"top | vit® mini.hip.band Set",10500,,"<p>Set bestehend aus 5 farbcodierten St&auml;rken, inklusive Mesh-Bag und Bedienungsanleitung.</p>

<ul>
	<li>St&auml;rken: extra-leicht, leicht, mittel, stark, extra-stark</li>
</ul>
","25,17",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10500_mini.hip.band_5erset(2).jpg,https://www.physioexpress.de/out/pictures/master/product/1/10500_mini.hip.band_5erset(2).jpg,https://www.physioexpress.de/Nach-Hersteller/top-vit/top-vit-mini-hip-band-Set.html
"pader.eco fresh 2.0, Hydraulik, zweiteilig",15131,4251309307369,"<p>Die zweiteilige Liegefl&auml;che der pader.eco fresh 2.0 besteht aus K&ouml;rper- und Kopffl&auml;che mit einem Gesamtma&szlig; von 200 x 68 cm. Das Kopfteil l&auml;sst sich von +45&deg; bis -90&deg; Grad verstellen.&nbsp;<br />
<br />
<strong>Produktdetails</strong></p>

<ul>
	<li>2-teilige Liegefl&auml;che 200 x 68 cm</li>
	<li>Stabiles Scherensystem mit wartungsfreien Trockenlagern</li>
	<li>Hydraulisch&nbsp;h&ouml;henverstellbar von 51&nbsp;- 96&nbsp;cm</li>
	<li>Kopfteilverstellung stufenlos&nbsp;von +45&deg; Grad bis -90&deg; Grad verstellbar</li>
	<li>7 cm Polsterung mit antimikrobiellem Kunstlederbezug</li>
	<li>Untergestell mit kratz- und sto&szlig;fester Pulverbeschichtung</li>
	<li>5 Jahre Garantie auf das Untergestell</li>
	<li>1 Jahre Gew&auml;hrleistung&nbsp;auf die Hydraulikeinheit</li>
	<li><strong>inklusive Radachshebesystem</strong></li>
</ul>
","1343,7",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/30_15131_therapieliege_hydraulisch_hoehenverstellbar_zweiteilig_weiss_eisblau.jpg,https://www.physioexpress.de/out/pictures/master/product/1/30_15131_therapieliege_hydraulisch_hoehenverstellbar_zweiteilig_weiss_eisblau.jpg,https://www.physioexpress.de/Behandlungsliegen/Therapieliegen/Therapieliege-hydraulisch-hoehenverstellbar.html
"top | vit® physio.stick",10001,,"<p>Der top | vit&reg; physio.stick erm&ouml;glicht ein effektives Training von Kraft, Ausdauer, Beweglichkeit und Koordination. Vielf&auml;ltige &Uuml;bungen zum Ganzk&ouml;rpertraining sowie gezielte Arbeit an einzelnen Muskelgruppen sind m&ouml;glich.&nbsp;</p>

<p><br />
<strong>Produktdetails</strong></p>

<ul>
	<li>flexibler Fitnessstab&nbsp;aus hochwertigem Fiberglas mit Grifffl&auml;che aus Schaumstoff mit Seilen</li>
	<li>Tubes (Gummib&auml;nder) sind leicht zu wechseln</li>
	<li>optimal f&uuml;r zu Hause, im Fitnessstudio oder in der Physiotherapie</li>
	<li>erh&auml;ltlich in 4 Widerstandsstufen: gr&uuml;n (leicht), blau (mittel), schwarz (stark), silber (extra-stark)</li>
</ul>
","33,57",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/gymnastikstab_mit_seilen_fitnessstab.jpg,https://www.physioexpress.de/out/pictures/master/product/1/gymnastikstab_mit_seilen_fitnessstab.jpg,https://www.physioexpress.de/Gymnastikartikel/Tubes-und-Uebungsbaender/Gymnastikstab-mit-Seilen.html
"top | vit® loops XL 5er SET, ca. 30 x 7,6 cm",10365,,"Ideal für Übungen der unteren Extremität. In fünf verschiedenen Stärken erhältlich!","22,37",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10365_topivit_loopsxl_set(3).jpg,https://www.physioexpress.de/out/pictures/master/product/1/10365_topivit_loopsxl_set(3).jpg,https://www.physioexpress.de/Nach-Hersteller/top-vit/top-vit-loops-XL-5er-SET-ca-30-x-7-6-cm.html
"top | vit® physio.stick Set",10430,,"<p>Der top | vit&reg; physio.stick erm&ouml;glicht ein effektives Training von Kraft, Ausdauer, Beweglichkeit und Koordination. Vielf&auml;ltige &Uuml;bungen zum Ganzk&ouml;rpertraining sowie gezielte Arbeit an einzelnen Muskelgruppen sind m&ouml;glich.&nbsp;<br />
<br />
<strong>Produktdetails</strong></p>

<ul>
	<li>bestehend aus vier&nbsp;top | vit&reg; physio.sticks (1 x gr&uuml;n, 1 x blau, 1 x schwarz, 1 x silber)</li>
	<li>Tubes (Gummib&auml;nder) sind leicht zu wechseln</li>
	<li>Stab&nbsp;aus hochwertigem Fiberglas mit Grifffl&auml;che aus Schaumstoff</li>
	<li>erh&auml;ltlich in 4 Widerstandsstufen: gr&uuml;n (leicht), blau (mittel), schwarz (stark), silber (extra-stark)</li>
</ul>

<p>&nbsp;</p>
","109,2",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10430_physiostick_set(2).jpg,https://www.physioexpress.de/out/pictures/master/product/1/10430_physiostick_set(2).jpg,https://www.physioexpress.de/Gymnastikartikel/Tubes-und-Uebungsbaender/top-vit-physio-stick-Set.html
"top | vit® mattenhalter.pol",10234,,"<p><strong>Produktdetails</strong></p>

<p>&nbsp;</p>

<p>&nbsp;</p>

<ul>
	<li>Schonende Aufh&auml;ngung f&uuml;r Matten mit &Ouml;sen</li>
	<li>2er Set aus hochwertigem, geb&uuml;rstetem Edelstahl</li>
	<li>Flexibel montierbar f&uuml;r alle Matten mit &Ouml;sen ab &Oslash; 16 mm</li>
	<li>F&uuml;r bis zu 10-15 Matten je nach Dicke</li>
</ul>

<p>&nbsp;</p>

<p>&nbsp;</p>
","19,285",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10234_mattenhalter.pol.jpg,https://www.physioexpress.de/out/pictures/master/product/1/10234_mattenhalter.pol.jpg,https://www.physioexpress.de/Gymnastikartikel/Gymnastikmatten/Zubehoer-fuer-Gymnastikmatten/top-vit-mattenhalter-pol.html
"top | vit® yoga SET",10437,,"<p><strong>Produktdetails</strong></p>

<ul>
	<li>1 x top | vit&reg; yoga.mat 1.0 - in 4 Farben w&auml;hlbar (bitte angeben)</li>
	<li>1 x top | vit&reg; yoga.gurt, ca. 260 x 4,0 cm - in 4 Farben w&auml;hlbar (bitte angeben)</li>
	<li>1 x top | vit&reg; yoga.block cork, ca. 23 x 15 x 7,5 cm</li>
	<li>1 x top | vit&reg; yoga.wheel wood, ca. &Oslash; 33 x 13 cm</li>
</ul>

<p>&nbsp;</p>

<p>&nbsp;</p>
","58,78",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10437_topvit_yoga_set(1).jpg,https://www.physioexpress.de/out/pictures/master/product/1/10437_topvit_yoga_set(1).jpg,https://www.physioexpress.de/Nach-Hersteller/top-vit/top-vit-yoga-SET.html
"top | vit® loops",10350,,"<ul>
	<li>Widerstandsb&auml;nder f&uuml;r ein vielseitiges Ganzk&ouml;rper-Workout&nbsp;</li>
	<li>Ideal zur Unterst&uuml;tzung z. B. beim Fitnesstraining, Yoga, Pilates oder in der Physiotherapie</li>
	<li>Erh&auml;ltlich in unterschiedlichen Widerst&auml;nden (Farbkodierung)</li>
	<li>erh&auml;ltlich in gelb (leicht), rot (mittel), gr&uuml;n (stark), blau (extra-stark), schwarz (max.-stark)</li>
	<li>Ma&szlig;e: ca. 5 cm x 23 cm</li>
</ul>
","3,352",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10348_loops_5x23cm_set(3).jpg,https://www.physioexpress.de/out/pictures/master/product/1/10348_loops_5x23cm_set(3).jpg,https://www.physioexpress.de/Nach-Hersteller/top-vit/top-vit-loops.html
"top | vit® loops XL, ca. 30 x 7,6 cm",10360,,"<ul>
	<li>vielseitiges Trainingsger&auml;t f&uuml;r den linearen Kraft- und Koordinationstraining</li>
	<li>erh&auml;ltlich in 5 farbcodierten Widerstandsstufen</li>
	<li>leicht an Gewicht und hoher Komfort durch seine breite Ausf&uuml;hrung</li>
	<li>ideal f&uuml;r Gruppentraining, Personaltraining, Stretching und Rehabilitation</li>
	<li>aus 100 % Latex f&uuml;r einen dynamische Elastizit&auml;t</li>
	<li>Ma&szlig;e (LxB): ca. 30 x 7,6 cm</li>
	<li>Widerst&auml;nde: gelb (leicht), rot (mittel), gr&uuml;n (stark), blau (extra stark) und schwarz (max. stark)</li>
	<li>Lieferumfang: 1 Loop</li>
</ul>

<p>&nbsp;</p>
",5,https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10365_topivit_loopsxl_set(1).jpg,https://www.physioexpress.de/out/pictures/master/product/1/10365_topivit_loopsxl_set(1).jpg,https://www.physioexpress.de/Gymnastikartikel/Tubes-und-Uebungsbaender/top-vit-loops-XL-ca-30-x-7-6-cm.html
"top | vit® ball.halter SET",10284,,"<ul>
<li>6 x top | vit® ball.halter - in 3 Farben wählbar (bitte angeben)</li>
<li>2 x top | vit® gymnastic.ball 5.5, ca. Ø 55 cm  - in 3 Farben wählbar (bitte angeben)</li>
<li>2 x top | vit® gymnastic.ball 6.5, ca. Ø 65 cm  - in 3 Farben wählbar (bitte angeben)</li>
<li>2 x top | vit® gymnastic.ball 7.5, ca. Ø 75 cm  - in 3 Farben wählbar (bitte angeben)</li>
</ul>","117,56",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/10284_topvit_ballhalter_set.jpg,https://www.physioexpress.de/out/pictures/master/product/1/10284_topvit_ballhalter_set.jpg,https://www.physioexpress.de/Nach-Hersteller/top-vit/top-vit-ball-halter-SET.html
"top | vit® body.trainer tubing",10341,,"<ul>
	<li>vielseitiges Trainingsger&auml;t f&uuml;r den linearen Karftaufbau durch Widerstand</li>
	<li>erh&auml;ltlich in 5 farbcodierten Widerstandsstufen</li>
	<li>mit extra sicheren und vormontierten Handgriffen</li>
	<li>mit gepolsterten Griffen aus Schaumstoff</li>
	<li>L&auml;nge: ca. 140 cm</li>
	<li>Widerst&auml;nde: gelb (extra leicht), rot (leicht), gr&uuml;n (mittel), blau (stark) und schwarz (extra stark)</li>
</ul>

<p>&nbsp;</p>
","7,555",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/topvitfitnesstubegelb1.jpg,https://www.physioexpress.de/out/pictures/master/product/1/topvitfitnesstubegelb1.jpg,https://www.physioexpress.de/Nach-Hersteller/top-vit/top-vit-body-trainer-tubing.html
"Nacken- und Knierolle",15285,,"<p>Dient zur unterst&uuml;tzenden Lagerung der Kniegelenke und des Nackens. Hochwertige Verarbeitung mit Kederapplikation und gef&uuml;llt mit festem Poly-Ether-Schaumstoff.<br />
<br />
<strong>Produktdetails</strong></p>

<ul>
	<li>hochwertige Verarbeitung mit Lederapplikation</li>
	<li>gef&uuml;llt mit festem Poly-Ether-Schaumstoff</li>
	<li>verdeckter Rei&szlig;verschluss zum Schutz vor Kratzspuren</li>
	<li>abgedeckte N&auml;hte mit Leder im Randbereich</li>
	<li>mit antimikrobiellem Kunstlederbezug</li>
	<li>einfache Reinigung mit handels&uuml;blichen Wischdesinfektionen</li>
	<li>ideal f&uuml;r den Arzt-, Physio- und Pflegebereich</li>
	<li>f&uuml;r Massage und Physiotherapie</li>
	<li>in 20&nbsp;Farben erh&auml;ltlich</li>
	<li>in 4 Gr&ouml;&szlig;en erh&auml;ltlich</li>
	<li>Made in Germany</li>
</ul>
","23,49",https://www.physioexpress.de/out/pictures/generated/product/1/750_750_70/15285_nacken-undknierolle50x15cm_gruppe(1).jpg,https://www.physioexpress.de/out/pictures/master/product/1/15285_nacken-undknierolle50x15cm_gruppe(1).jpg,https://www.physioexpress.de/Behandlungsliegen/Lagerungsmaterial/Nacken-und-Knierolle.html
